Dist Code,Year,State Code,State Name,Dist Name,Crop Name,AREA (1000 ha),PRODUCTION (1000 tons),YIELD (Tons per 1000 ha)
44,2000,1,Andhra Pradesh,Srikakulam,Rice,274.6,511.34,1.86212673
44,2001,1,Andhra Pradesh,Srikakulam,Rice,235.44,502.11,2.13264526
44,2002,1,Andhra Pradesh,Srikakulam,Rice,201.5,328.5,1.630272953
44,2003,1,Andhra Pradesh,Srikakulam,Rice,246.96,545.82,2.210155491
44,2004,1,Andhra Pradesh,Srikakulam,Rice,256.78,601.96,2.344263572
44,2005,1,Andhra Pradesh,Srikakulam,Rice,206.8,351.86,1.701450677
44,2006,1,Andhra Pradesh,Srikakulam,Rice,256.64,640.67,2.496376247
44,2007,1,Andhra Pradesh,Srikakulam,Rice,266.55,803.55,3.014631401
44,2008,1,Andhra Pradesh,Srikakulam,Rice,271.17,570.58,2.104141314
44,2009,1,Andhra Pradesh,Srikakulam,Rice,233.89,497.78,2.128265424
44,2010,1,Andhra Pradesh,Srikakulam,Rice,279.72,358.64,1.282139282
44,2011,1,Andhra Pradesh,Srikakulam,Rice,272.7,537.7,1.971763843
44,2012,1,Andhra Pradesh,Srikakulam,Rice,271.63,689.11,2.536943637
44,2013,1,Andhra Pradesh,Srikakulam,Rice,261.53,500.73,1.914617826
44,2014,1,Andhra Pradesh,Srikakulam,Rice,272.51,613.59,2.251623794
44,2015,1,Andhra Pradesh,Srikakulam,Rice,270.13,664.52,2.46000074
44,2016,1,Andhra Pradesh,Srikakulam,Rice,268.4,801.97,2.987965723
44,2017,1,Andhra Pradesh,Srikakulam,Rice,279.15,735.77,2.635751388
45,2000,1,Andhra Pradesh,Visakhapatnam,Rice,184.25,300.2,1.629308005
45,2001,1,Andhra Pradesh,Visakhapatnam,Rice,145.4,257.47,1.770770289
45,2002,1,Andhra Pradesh,Visakhapatnam,Rice,111.5,122.5,1.098654709
45,2003,1,Andhra Pradesh,Visakhapatnam,Rice,145.18,264.17,1.819603251
45,2004,1,Andhra Pradesh,Visakhapatnam,Rice,161.6,312.13,1.931497525
45,2005,1,Andhra Pradesh,Visakhapatnam,Rice,137.67,202.41,1.470254958
45,2006,1,Andhra Pradesh,Visakhapatnam,Rice,154.97,325.04,2.097438214
45,2007,1,Andhra Pradesh,Visakhapatnam,Rice,162.44,385.24,2.371583354
45,2008,1,Andhra Pradesh,Visakhapatnam,Rice,167.39,328.35,1.961586714
45,2009,1,Andhra Pradesh,Visakhapatnam,Rice,122.53,193.17,1.576511875
45,2010,1,Andhra Pradesh,Visakhapatnam,Rice,184.32,376.1,2.04047309
45,2011,1,Andhra Pradesh,Visakhapatnam,Rice,174.41,303.62,1.740840548
45,2012,1,Andhra Pradesh,Visakhapatnam,Rice,166.65,312.24,1.873627363
45,2013,1,Andhra Pradesh,Visakhapatnam,Rice,163.79,330.13,2.015568716
45,2014,1,Andhra Pradesh,Visakhapatnam,Rice,167.72,343.73,2.049427617
45,2015,1,Andhra Pradesh,Visakhapatnam,Rice,170.96,416.89,2.438523631
45,2016,1,Andhra Pradesh,Visakhapatnam,Rice,172.56,436.84,2.531525267
45,2017,1,Andhra Pradesh,Visakhapatnam,Rice,173.38,421.22,2.429461299
46,2000,1,Andhra Pradesh,East Godavari,Rice,416.83,1366.63,3.278626778
46,2001,1,Andhra Pradesh,East Godavari,Rice,386.59,1330,3.440337308
46,2002,1,Andhra Pradesh,East Godavari,Rice,301,1043,3.465116279
46,2003,1,Andhra Pradesh,East Godavari,Rice,399.99,1631.55,4.078976974
46,2004,1,Andhra Pradesh,East Godavari,Rice,387.42,1509.91,3.897346549
46,2005,1,Andhra Pradesh,East Godavari,Rice,387.42,1149.65,2.967451345
46,2006,1,Andhra Pradesh,East Godavari,Rice,396.89,1393.55,3.511174381
46,2007,1,Andhra Pradesh,East Godavari,Rice,410.78,1518.59,3.696845027
46,2008,1,Andhra Pradesh,East Godavari,Rice,410.09,1513.26,3.690068034
46,2009,1,Andhra Pradesh,East Godavari,Rice,306.58,1073.1,3.500228325
